Protein	Start Site,,End Site,,Family,,Description
A0A0H2ZA56	N/A,,N/A,,N/A,,N/A
A0A0H2ZA93	N/A,,N/A,,N/A,,N/A
A0A0H2ZAH9	N/A,,N/A,,N/A,,N/A
A0A0H2ZAX4	N/A,,N/A,,N/A,,N/A
A0A0H2ZBE7	N/A,,N/A,,N/A,,N/A
A0A0H2ZBR4	N/A,,N/A,,N/A,,N/A
A0A0H2ZCG9	N/A,,N/A,,N/A,,N/A
A0A0H2ZCW9	N/A,,N/A,,N/A,,N/A
A0A0H2ZD39	N/A,,N/A,,N/A,,N/A
A0A0H2ZDN1	N/A,,N/A,,N/A,,N/A
A0A0H2ZE32	N/A,,N/A,,N/A,,N/A
A0A0H2ZEH0	N/A,,N/A,,N/A,,N/A
A0A0H2ZEZ6	N/A,,N/A,,N/A,,N/A
A0A0H2ZF94	N/A,,N/A,,N/A,,N/A
A0A0H2ZFZ7	N/A,,N/A,,N/A,,N/A
A0A0H2ZGH6	N/A,,N/A,,N/A,,N/A
A0A0H2ZGM4	N/A,,N/A,,N/A,,N/A
A0A0H2ZGY3	N/A,,N/A,,N/A,,N/A
A0A0H2ZHP8	N/A,,N/A,,N/A,,N/A
A0A0H2ZHV0	N/A,,N/A,,N/A,,N/A
A0A0H2ZI65	N/A,,N/A,,N/A,,N/A
A0A0H2ZIH9	N/A,,N/A,,N/A,,N/A
A0A0H2ZIW7	N/A,,N/A,,N/A,,N/A
A0A0H2ZK24	N/A,,N/A,,N/A,,N/A
A0A0H2ZLD8	N/A,,N/A,,N/A,,N/A
A0A0H2ZLE0	N/A,,N/A,,N/A,,N/A
A0A0H2ZLH0	N/A,,N/A,,N/A,,N/A
A0A0H2ZLI5	N/A,,N/A,,N/A,,N/A
A0A0H2ZLT2	N/A,,N/A,,N/A,,N/A
A0A0H2ZLY8	N/A,,N/A,,N/A,,N/A
A0A0H2ZLZ4	N/A,,N/A,,N/A,,N/A
A0A0H2ZM91	N/A,,N/A,,N/A,,N/A
A0A0H2ZMK9	N/A,,N/A,,N/A,,N/A
A0A0H2ZMP5	N/A,,N/A,,N/A,,N/A
A0A0H2ZMS9	5,,556,,MF_01491,,RNase_J_bact,,Ribonuclease J [rnj]
A0A0H2ZMV7	N/A,,N/A,,N/A,,N/A
A0A0H2ZN13	N/A,,N/A,,N/A,,N/A
A0A0H2ZN54	N/A,,N/A,,N/A,,N/A
A0A0H2ZN64	N/A,,N/A,,N/A,,N/A
A0A0H2ZN99	N/A,,N/A,,N/A,,N/A
A0A0H2ZNG3	N/A,,N/A,,N/A,,N/A
A0A0H2ZNG8	N/A,,N/A,,N/A,,N/A
A0A0H2ZNI4	N/A,,N/A,,N/A,,N/A
A0A0H2ZNM6	N/A,,N/A,,N/A,,N/A
A0A0H2ZNN6	42,,1140,,MF_00969,,TRCF,,Transcription-repair-coupling factor [mfd]
A0A0H2ZNS9	N/A,,N/A,,N/A,,N/A
A0A0H2ZNX1	N/A,,N/A,,N/A,,N/A
A0A0H2ZNX3	N/A,,N/A,,N/A,,N/A
A0A0H2ZP62	N/A,,N/A,,N/A,,N/A
A0A0H2ZP84	6,,317,,MF_00583_B,,RibP_PPkinase,,Putative ribose-phosphate pyrophosphokinase [prs]
A0A0H2ZPA7	N/A,,N/A,,N/A,,N/A
A0A0H2ZPC6	N/A,,N/A,,N/A,,N/A
A0A0H2ZPG7	1,,464,,MF_01941,,MapZ,,Mid-cell-anchored protein Z [mapZ]
A0A0H2ZPI5	N/A,,N/A,,N/A,,N/A
A0A0H2ZPL5	N/A,,N/A,,N/A,,N/A
A0A0H2ZPN9	N/A,,N/A,,N/A,,N/A
A0A0H2ZPQ1	N/A,,N/A,,N/A,,N/A
A0A0H2ZPS0	148,,422,,MF_00920,,FtsY,,Signal recognition particle receptor FtsY [ftsY]
A0A0H2ZPS7	N/A,,N/A,,N/A,,N/A
A0A0H2ZPT1	N/A,,N/A,,N/A,,N/A
A0A0H2ZPT5	3,,455,,MF_02033,,FtsA,,Cell division protein FtsA [ftsA]
A0A0H2ZQ65	N/A,,N/A,,N/A,,N/A
A0A0H2ZQ87	N/A,,N/A,,N/A,,N/A
A0A0H2ZQE0	N/A,,N/A,,N/A,,N/A
A0A0H2ZQE4	N/A,,N/A,,N/A,,N/A
A0A0H2ZQF3	4,,813,,MF_02206,,DinG_exonucl,,3'-5' exonuclease DinG [dinG]
A0A0H2ZQI4	N/A,,N/A,,N/A,,N/A
A0A0H2ZQW0	2,,107,,MF_00984,,SSB,,Single-stranded DNA-binding protein
A0A0H2ZR12	N/A,,N/A,,N/A,,N/A
A0A0H2ZR39	N/A,,N/A,,N/A,,N/A
A0A0H2ZR50	N/A,,N/A,,N/A,,N/A
A0A0H2ZR80	N/A,,N/A,,N/A,,N/A
A0A0H2ZRA8	N/A,,N/A,,N/A,,N/A
A0A0H2ZRF0	N/A,,N/A,,N/A,,N/A
A0A0H3BNJ9	N/A,,N/A,,N/A,,N/A
A0A0H3FL20	1,,359,,MF_00259,,GcvT,,Aminomethyltransferase [gcvT]
A0A0H3GE39	N/A,,N/A,,N/A,,N/A
A0A0H3GGT0	5,,271,,MF_01934,,MenB,,1,4-dihydroxy-2-naphthoyl-CoA synthase [menB]
A0A0H3GIV1	8,,266,,MF_00592,,DeoC_type2,,Deoxyribose-phosphate aldolase [deoC]
A0A0H3GJV8	N/A,,N/A,,N/A,,N/A
A0A0H3GSB6	N/A,,N/A,,N/A,,N/A
A0A0H3JDM8	N/A,,N/A,,N/A,,N/A
A0A0H3JF05	N/A,,N/A,,N/A,,N/A
A0A0H3K684	2,,107,,MF_00984,,SSB,,Single-stranded DNA-binding protein
A0A0H3K6P9	N/A,,N/A,,N/A,,N/A
A0A0H3K743	1,,519,,MF_01228,,Met_tRNA_synth_type2,,Methionine--tRNA ligase [metG]
A0A0H3K7D0	N/A,,N/A,,N/A,,N/A
A0A0H3K7F4	N/A,,N/A,,N/A,,N/A
A0A0H3K7L0	N/A,,N/A,,N/A,,N/A
A0A0H3K8E2	3,,390,,MF_00945_B,,NusA,,Transcription termination/antitermination protein NusA [nusA]
A0A0H3K8I6	5,,640,,MF_00939,,ParE_type2,,DNA topoisomerase 4 subunit B [parE]
A0A0H3K8Q4	N/A,,N/A,,N/A,,N/A
A0A0H3K8V5	N/A,,N/A,,N/A,,N/A
A0A0H3K9E4	N/A,,N/A,,N/A,,N/A
A0A0H3K9P0	N/A,,N/A,,N/A,,N/A
A0A0H3K9T2	N/A,,N/A,,N/A,,N/A
A0A0H3KA72	N/A,,N/A,,N/A,,N/A
A0A0H3KAP0	N/A,,N/A,,N/A,,N/A
A0A0H3KBK6	N/A,,N/A,,N/A,,N/A
A0A0H3KCE0	N/A,,N/A,,N/A,,N/A
A0A0H3KCP9	N/A,,N/A,,N/A,,N/A
A0A0H3KCZ3	13,,368,,MF_00963,,Sigma70_RpoD_SigA,,RNA polymerase sigma factor RpoD [rpoD]
A0A0H3KDS2	N/A,,N/A,,N/A,,N/A
A0A0H3KE94	N/A,,N/A,,N/A,,N/A
A0A0H3KFC4	N/A,,N/A,,N/A,,N/A
A0A0H3KFD1	N/A,,N/A,,N/A,,N/A
A0A0H3KFQ9	N/A,,N/A,,N/A,,N/A
A0A0H3KFX1	9,,386,,MF_00909,,FtsZ,,Cell division protein FtsZ [ftsZ]
A0A0H3KGZ9	N/A,,N/A,,N/A,,N/A
A0A0H3M0I9	N/A,,N/A,,N/A,,N/A
A0A0H3M0K6	N/A,,N/A,,N/A,,N/A
A0A0H3M0L5	N/A,,N/A,,N/A,,N/A
A0A0H3M0M7	N/A,,N/A,,N/A,,N/A
A0A0H3M0M9	N/A,,N/A,,N/A,,N/A
A0A0H3M0P5	N/A,,N/A,,N/A,,N/A
A0A0H3M0Q5	N/A,,N/A,,N/A,,N/A
A0A0H3M0R6	N/A,,N/A,,N/A,,N/A
A0A0H3M0V2	N/A,,N/A,,N/A,,N/A
A0A0H3M0X2	N/A,,N/A,,N/A,,N/A
A0A0H3M0X9	N/A,,N/A,,N/A,,N/A
A0A0H3M0Z1	N/A,,N/A,,N/A,,N/A
A0A0H3M102	N/A,,N/A,,N/A,,N/A
A0A0H3M143	N/A,,N/A,,N/A,,N/A
A0A0H3M173	N/A,,N/A,,N/A,,N/A
A0A0H3M187	N/A,,N/A,,N/A,,N/A
A0A0H3M194	N/A,,N/A,,N/A,,N/A
A0A0H3M199	N/A,,N/A,,N/A,,N/A
A0A0H3M1A4	N/A,,N/A,,N/A,,N/A
A0A0H3M1A8	N/A,,N/A,,N/A,,N/A
A0A0H3M1B0	N/A,,N/A,,N/A,,N/A
A0A0H3M1C1	N/A,,N/A,,N/A,,N/A
A0A0H3M1E3	N/A,,N/A,,N/A,,N/A
A0A0H3M1E6	N/A,,N/A,,N/A,,N/A
A0A0H3M1F0	N/A,,N/A,,N/A,,N/A
A0A0H3M1F9	N/A,,N/A,,N/A,,N/A
A0A0H3M1H5	N/A,,N/A,,N/A,,N/A
A0A0H3M1J6	N/A,,N/A,,N/A,,N/A
A0A0H3M1J7	N/A,,N/A,,N/A,,N/A
A0A0H3M1K1	N/A,,N/A,,N/A,,N/A
A0A0H3M1N7	N/A,,N/A,,N/A,,N/A
A0A0H3M1P9	N/A,,N/A,,N/A,,N/A
A0A0H3M1R0	N/A,,N/A,,N/A,,N/A
A0A0H3M1R4	N/A,,N/A,,N/A,,N/A
A0A0H3M1S1	N/A,,N/A,,N/A,,N/A
A0A0H3M1S9	N/A,,N/A,,N/A,,N/A
A0A0H3M1U6	N/A,,N/A,,N/A,,N/A
A0A0H3M1X8	N/A,,N/A,,N/A,,N/A
A0A0H3M1Y5	N/A,,N/A,,N/A,,N/A
A0A0H3M204	N/A,,N/A,,N/A,,N/A
A0A0H3M210	N/A,,N/A,,N/A,,N/A
A0A0H3M225	N/A,,N/A,,N/A,,N/A
A0A0H3M245	N/A,,N/A,,N/A,,N/A
A0A0H3M263	N/A,,N/A,,N/A,,N/A
A0A0H3M2A5	N/A,,N/A,,N/A,,N/A
A0A0H3M2C1	N/A,,N/A,,N/A,,N/A
A0A0H3M2C2	N/A,,N/A,,N/A,,N/A
A0A0H3M2D9	N/A,,N/A,,N/A,,N/A
A0A0H3M2E0	N/A,,N/A,,N/A,,N/A
A0A0H3M2E1	N/A,,N/A,,N/A,,N/A
A0A0H3M2E5	4,,113,,MF_00984,,SSB,,Single-stranded DNA-binding protein
A0A0H3M2E7	N/A,,N/A,,N/A,,N/A
A0A0H3M2G7	N/A,,N/A,,N/A,,N/A
A0A0H3M2H1	N/A,,N/A,,N/A,,N/A
A0A0H3M2H3	N/A,,N/A,,N/A,,N/A
A0A0H3M2H5	N/A,,N/A,,N/A,,N/A
A0A0H3M2I6	N/A,,N/A,,N/A,,N/A
A0A0H3M2K4	N/A,,N/A,,N/A,,N/A
A0A0H3M2K8	N/A,,N/A,,N/A,,N/A
A0A0H3M2M1	N/A,,N/A,,N/A,,N/A
A0A0H3M2N0	N/A,,N/A,,N/A,,N/A
A0A0H3M2Q0	N/A,,N/A,,N/A,,N/A
A0A0H3M2R5	N/A,,N/A,,N/A,,N/A
A0A0H3M2S1	N/A,,N/A,,N/A,,N/A
A0A0H3M2S6	N/A,,N/A,,N/A,,N/A
A0A0H3M2T4	N/A,,N/A,,N/A,,N/A
A0A0H3M2U2	N/A,,N/A,,N/A,,N/A
A0A0H3M2V0	N/A,,N/A,,N/A,,N/A
A0A0H3M2W3	N/A,,N/A,,N/A,,N/A
A0A0H3M310	N/A,,N/A,,N/A,,N/A
A0A0H3M322	N/A,,N/A,,N/A,,N/A
A0A0H3M336	N/A,,N/A,,N/A,,N/A
A0A0H3M338	N/A,,N/A,,N/A,,N/A
A0A0H3M349	N/A,,N/A,,N/A,,N/A
A0A0H3M363	N/A,,N/A,,N/A,,N/A
A0A0H3M375	N/A,,N/A,,N/A,,N/A
A0A0H3M379	N/A,,N/A,,N/A,,N/A
A0A0H3M380	7,,391,,MF_01152,,DnaJ,,Chaperone protein DnaJ [dnaJ]
A0A0H3M389	N/A,,N/A,,N/A,,N/A
A0A0H3M3A0	N/A,,N/A,,N/A,,N/A
A0A0H3M3A7	N/A,,N/A,,N/A,,N/A
A0A0H3M3B6	N/A,,N/A,,N/A,,N/A
A0A0H3M3C6	N/A,,N/A,,N/A,,N/A
A0A0H3M3E7	N/A,,N/A,,N/A,,N/A
A0A0H3M3F1	1,,383,,MF_00020,,Acetate_kinase,,Probable acetate kinase
A0A0H3M3F6	N/A,,N/A,,N/A,,N/A
A0A0H3M3G2	N/A,,N/A,,N/A,,N/A
A0A0H3M3G7	N/A,,N/A,,N/A,,N/A
A0A0H3M3I2	N/A,,N/A,,N/A,,N/A
A0A0H3M3L4	N/A,,N/A,,N/A,,N/A
A0A0H3M3M4	N/A,,N/A,,N/A,,N/A
A0A0H3M3M8	N/A,,N/A,,N/A,,N/A
A0A0H3M3P3	N/A,,N/A,,N/A,,N/A
A0A0H3M3P5	N/A,,N/A,,N/A,,N/A
A0A0H3M3R1	N/A,,N/A,,N/A,,N/A
A0A0H3M3R7	N/A,,N/A,,N/A,,N/A
A0A0H3M3S8	N/A,,N/A,,N/A,,N/A
A0A0H3M3V5	N/A,,N/A,,N/A,,N/A
A0A0H3M429	N/A,,N/A,,N/A,,N/A
A0A0H3M454	46,,238,,MF_00948,,NusG,,Transcription termination/antitermination protein NusG [nusG]
A0A0H3M469	N/A,,N/A,,N/A,,N/A
A0A0H3M480	N/A,,N/A,,N/A,,N/A
A0A0H3M499	N/A,,N/A,,N/A,,N/A
A0A0H3M4A3	N/A,,N/A,,N/A,,N/A
A0A0H3M4A6	N/A,,N/A,,N/A,,N/A
A0A0H3M4A7	N/A,,N/A,,N/A,,N/A
A0A0H3M4G7	34,,486,,MF_01931,,PurF,,Amidophosphoribosyltransferase [purF]
A0A0H3M4G9	N/A,,N/A,,N/A,,N/A
A0A0H3M4H4	N/A,,N/A,,N/A,,N/A
A0A0H3M4H7	N/A,,N/A,,N/A,,N/A
A0A0H3M4J7	N/A,,N/A,,N/A,,N/A
A0A0H3M4J8	N/A,,N/A,,N/A,,N/A
A0A0H3M4M1	N/A,,N/A,,N/A,,N/A
A0A0H3M4M5	N/A,,N/A,,N/A,,N/A
A0A0H3M4P2	N/A,,N/A,,N/A,,N/A
A0A0H3M4T3	N/A,,N/A,,N/A,,N/A
A0A0H3M4U0	N/A,,N/A,,N/A,,N/A
A0A0H3M4U3	N/A,,N/A,,N/A,,N/A
A0A0H3M4X4	N/A,,N/A,,N/A,,N/A
A0A0H3M4Y2	N/A,,N/A,,N/A,,N/A
A0A0H3M4Z4	N/A,,N/A,,N/A,,N/A
A0A0H3M520	N/A,,N/A,,N/A,,N/A
A0A0H3M565	N/A,,N/A,,N/A,,N/A
A0A0H3M566	N/A,,N/A,,N/A,,N/A
A0A0H3M589	10,,466,,MF_00743,,FumaraseC,,Fumarate hydratase class II [fumC]
A0A0H3M591	N/A,,N/A,,N/A,,N/A
A0A0H3M597	N/A,,N/A,,N/A,,N/A
A0A0H3M5C2	N/A,,N/A,,N/A,,N/A
A0A0H3M5G6	N/A,,N/A,,N/A,,N/A
A0A0H3M5I0	N/A,,N/A,,N/A,,N/A
A0A0H3M5I9	N/A,,N/A,,N/A,,N/A
A0A0H3M5J1	N/A,,N/A,,N/A,,N/A
A0A0H3M5J3	N/A,,N/A,,N/A,,N/A
A0A0H3M5J6	N/A,,N/A,,N/A,,N/A
A0A0H3M5K2	N/A,,N/A,,N/A,,N/A
A0A0H3M5L8	N/A,,N/A,,N/A,,N/A
A0A0H3M5M1	N/A,,N/A,,N/A,,N/A
A0A0H3M5N5	N/A,,N/A,,N/A,,N/A
A0A0H3M5N6	N/A,,N/A,,N/A,,N/A
A0A0H3M5P8	N/A,,N/A,,N/A,,N/A
A0A0H3M5S4	N/A,,N/A,,N/A,,N/A
A0A0H3M5S8	86,,983,,MF_00802,,GlnE,,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme [glnE]
A0A0H3M5T7	N/A,,N/A,,N/A,,N/A
A0A0H3M5V0	N/A,,N/A,,N/A,,N/A
A0A0H3M5V1	N/A,,N/A,,N/A,,N/A
A0A0H3M5V7	N/A,,N/A,,N/A,,N/A
A0A0H3M5W6	19,,204,,MF_00328,,Guanylate_kinase,,Guanylate kinase [gmk]
A0A0H3M5X7	N/A,,N/A,,N/A,,N/A
A0A0H3M5Z5	N/A,,N/A,,N/A,,N/A
A0A0H3M5Z7	N/A,,N/A,,N/A,,N/A
A0A0H3M610	N/A,,N/A,,N/A,,N/A
A0A0H3M624	N/A,,N/A,,N/A,,N/A
A0A0H3M638	N/A,,N/A,,N/A,,N/A
A0A0H3M639	N/A,,N/A,,N/A,,N/A
A0A0H3M647	N/A,,N/A,,N/A,,N/A
A0A0H3M648	N/A,,N/A,,N/A,,N/A
A0A0H3M677	N/A,,N/A,,N/A,,N/A
A0A0H3M694	N/A,,N/A,,N/A,,N/A
A0A0H3M6A1	N/A,,N/A,,N/A,,N/A
A0A0H3M6B2	N/A,,N/A,,N/A,,N/A
A0A0H3M6B9	N/A,,N/A,,N/A,,N/A
A0A0H3M6E1	N/A,,N/A,,N/A,,N/A
A0A0H3M6F5	N/A,,N/A,,N/A,,N/A
A0A0H3M6H3	N/A,,N/A,,N/A,,N/A
A0A0H3M6I8	4,,500,,MF_02019,,MurF,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [murF]
A0A0H3M6I9	N/A,,N/A,,N/A,,N/A
A0A0H3M6J3	N/A,,N/A,,N/A,,N/A
A0A0H3M6L3	N/A,,N/A,,N/A,,N/A
A0A0H3M6N8	N/A,,N/A,,N/A,,N/A
A0A0H3M6Q0	N/A,,N/A,,N/A,,N/A
A0A0H3M6S7	N/A,,N/A,,N/A,,N/A
A0A0H3M6T3	N/A,,N/A,,N/A,,N/A
A0A0H3M6U0	1,,313,,MF_00024,,CobD_CbiB,,Cobalamin biosynthesis protein CbiB [cbiB]
A0A0H3M6U5	N/A,,N/A,,N/A,,N/A
A0A0H3M6U9	N/A,,N/A,,N/A,,N/A
A0A0H3M6V0	N/A,,N/A,,N/A,,N/A
A0A0H3M6W3	N/A,,N/A,,N/A,,N/A
A0A0H3M6Y7	N/A,,N/A,,N/A,,N/A
A0A0H3M6Y9	N/A,,N/A,,N/A,,N/A
A0A0H3M714	N/A,,N/A,,N/A,,N/A
A0A0H3M719	N/A,,N/A,,N/A,,N/A
A0A0H3M729	N/A,,N/A,,N/A,,N/A
A0A0H3M737	N/A,,N/A,,N/A,,N/A
A0A0H3M741	N/A,,N/A,,N/A,,N/A
A0A0H3M745	N/A,,N/A,,N/A,,N/A
A0A0H3M746	N/A,,N/A,,N/A,,N/A
A0A0H3M751	N/A,,N/A,,N/A,,N/A
A0A0H3M760	N/A,,N/A,,N/A,,N/A
A0A0H3M763	N/A,,N/A,,N/A,,N/A
A0A0H3M781	N/A,,N/A,,N/A,,N/A
A0A0H3M782	7,,420,,MF_00051,,SHMT,,Serine hydroxymethyltransferase [glyA]
A0A0H3M795	N/A,,N/A,,N/A,,N/A
A0A0H3M7A7	N/A,,N/A,,N/A,,N/A
A0A0H3M7A9	N/A,,N/A,,N/A,,N/A
A0A0H3M7E0	N/A,,N/A,,N/A,,N/A
A0A0H3M7E1	N/A,,N/A,,N/A,,N/A
A0A0H3M7E6	N/A,,N/A,,N/A,,N/A
A0A0H3M7F4	N/A,,N/A,,N/A,,N/A
A0A0H3M7F7	N/A,,N/A,,N/A,,N/A
A0A0H3M7G2	N/A,,N/A,,N/A,,N/A
A0A0H3M7I8	N/A,,N/A,,N/A,,N/A
A0A0H3M7K2	N/A,,N/A,,N/A,,N/A
A0A0H3M7L7	N/A,,N/A,,N/A,,N/A
A0A0H3M7N1	N/A,,N/A,,N/A,,N/A
A0A0H3M7N2	N/A,,N/A,,N/A,,N/A
A0A0H3M7R2	2,,276,,MF_00187,,FdhD,,Sulfur carrier protein FdhD [fdhD]
A0A0H3M7R3	N/A,,N/A,,N/A,,N/A
A0A0H3M7R8	5,,76,,MF_00088,,UPF0109,,UPF0109 protein 
A0A0H3M7S4	N/A,,N/A,,N/A,,N/A
A0A0H3M7T9	N/A,,N/A,,N/A,,N/A
A0A0H3M7U1	N/A,,N/A,,N/A,,N/A
A0A0H3M7U4	N/A,,N/A,,N/A,,N/A
A0A0H3M7V7	N/A,,N/A,,N/A,,N/A
A0A0H3M7V8	N/A,,N/A,,N/A,,N/A
A0A0H3M7W0	N/A,,N/A,,N/A,,N/A
A0A0H3M7W2	94,,314,,MF_00911,,FtsQ_subfam,,Cell division protein FtsQ [ftsQ]
A0A0H3M7W9	N/A,,N/A,,N/A,,N/A
A0A0H3M7X4	N/A,,N/A,,N/A,,N/A
A0A0H3M7Y1	N/A,,N/A,,N/A,,N/A
A0A0H3M807	N/A,,N/A,,N/A,,N/A
A0A0H3M808	N/A,,N/A,,N/A,,N/A
A0A0H3M812	N/A,,N/A,,N/A,,N/A
A0A0H3M819	N/A,,N/A,,N/A,,N/A
A0A0H3M828	N/A,,N/A,,N/A,,N/A
A0A0H3M839	N/A,,N/A,,N/A,,N/A
A0A0H3M854	N/A,,N/A,,N/A,,N/A
A0A0H3M855	7,,81,,MF_01217,,Acyl_carrier,,Acyl carrier protein [acpP]
A0A0H3M872	N/A,,N/A,,N/A,,N/A
A0A0H3M887	N/A,,N/A,,N/A,,N/A
A0A0H3M8B0	N/A,,N/A,,N/A,,N/A
A0A0H3M8B1	N/A,,N/A,,N/A,,N/A
A0A0H3M8B9	N/A,,N/A,,N/A,,N/A
A0A0H3M8C2	N/A,,N/A,,N/A,,N/A
A0A0H3M8C4	N/A,,N/A,,N/A,,N/A
A0A0H3M8D6	N/A,,N/A,,N/A,,N/A
A0A0H3M8D8	N/A,,N/A,,N/A,,N/A
A0A0H3M8D9	25,,313,,MF_01934,,MenB,,1,4-dihydroxy-2-naphthoyl-CoA synthase [menB]
A0A0H3M8G7	N/A,,N/A,,N/A,,N/A
A0A0H3M8I0	1,,378,,MF_01152,,DnaJ,,Chaperone protein DnaJ [dnaJ]
A0A0H3M8I5	N/A,,N/A,,N/A,,N/A
A0A0H3M8I8	25,,567,,MF_01487,,RecD,,RecBCD enzyme subunit RecD [recD]
A0A0H3M8J5	103,,158,,MF_00422,,SecE,,Protein translocase subunit SecE [secE]
A0A0H3M8L2	N/A,,N/A,,N/A,,N/A
A0A0H3M8M4	N/A,,N/A,,N/A,,N/A
A0A0H3M8M5	N/A,,N/A,,N/A,,N/A
A0A0H3M8N3	N/A,,N/A,,N/A,,N/A
A0A0H3M8R2	N/A,,N/A,,N/A,,N/A
A0A0H3M8R9	N/A,,N/A,,N/A,,N/A
A0A0H3M8S5	N/A,,N/A,,N/A,,N/A
A0A0H3M8T0	N/A,,N/A,,N/A,,N/A
A0A0H3M8T6	N/A,,N/A,,N/A,,N/A
A0A0H3M8U8	N/A,,N/A,,N/A,,N/A
A0A0H3M8V5	N/A,,N/A,,N/A,,N/A
A0A0H3M8V9	N/A,,N/A,,N/A,,N/A
A0A0H3M8W1	N/A,,N/A,,N/A,,N/A
A0A0H3M902	N/A,,N/A,,N/A,,N/A
A0A0H3M918	58,,356,,MF_01464_B,,SecF,,Protein-export membrane protein SecF [secF]
A0A0H3M924	N/A,,N/A,,N/A,,N/A
A0A0H3M938	N/A,,N/A,,N/A,,N/A
A0A0H3M941	N/A,,N/A,,N/A,,N/A
A0A0H3M949	19,,379,,MF_01928,,PurK,,N5-carboxyaminoimidazole ribonucleotide synthase [purK]
A0A0H3M957	N/A,,N/A,,N/A,,N/A
A0A0H3M966	N/A,,N/A,,N/A,,N/A
A0A0H3M967	14,,197,,MF_01930,,PurN,,Phosphoribosylglycinamide formyltransferase [purN]
A0A0H3M978	N/A,,N/A,,N/A,,N/A
A0A0H3M9A4	N/A,,N/A,,N/A,,N/A
A0A0H3M9A9	N/A,,N/A,,N/A,,N/A
A0A0H3M9B4	N/A,,N/A,,N/A,,N/A
A0A0H3M9D1	N/A,,N/A,,N/A,,N/A
A0A0H3M9E6	N/A,,N/A,,N/A,,N/A
A0A0H3M9F1	N/A,,N/A,,N/A,,N/A
A0A0H3M9G9	N/A,,N/A,,N/A,,N/A
A0A0H3M9I9	N/A,,N/A,,N/A,,N/A
A0A0H3M9N5	N/A,,N/A,,N/A,,N/A
A0A0H3M9Q6	N/A,,N/A,,N/A,,N/A
A0A0H3M9R4	N/A,,N/A,,N/A,,N/A
A0A0H3M9R5	14,,515,,MF_00186,,Glycerol_kin,,Glycerol kinase [glpK]
A0A0H3M9U0	N/A,,N/A,,N/A,,N/A
A0A0H3M9U1	N/A,,N/A,,N/A,,N/A
A0A0H3M9U9	N/A,,N/A,,N/A,,N/A
A0A0H3M9V1	N/A,,N/A,,N/A,,N/A
A0A0H3M9W9	N/A,,N/A,,N/A,,N/A
A0A0H3M9X1	N/A,,N/A,,N/A,,N/A
A0A0H3M9X2	N/A,,N/A,,N/A,,N/A
A0A0H3M9X3	1,,1194,,MF_01894,,Smc_prok,,Chromosome partition protein Smc [smc]
A0A0H3M9Y5	N/A,,N/A,,N/A,,N/A
A0A0H3M9Y6	N/A,,N/A,,N/A,,N/A
A0A0H3M9Z4	N/A,,N/A,,N/A,,N/A
A0A0H3M9Z9	N/A,,N/A,,N/A,,N/A
A0A0H3MA19	N/A,,N/A,,N/A,,N/A
A0A0H3MA24	N/A,,N/A,,N/A,,N/A
A0A0H3MA47	N/A,,N/A,,N/A,,N/A
A0A0H3MA58	N/A,,N/A,,N/A,,N/A
A0A0H3MA65	N/A,,N/A,,N/A,,N/A
A0A0H3MA76	N/A,,N/A,,N/A,,N/A
A0A0H3MA81	N/A,,N/A,,N/A,,N/A
A0A0H3MAA5	N/A,,N/A,,N/A,,N/A
A0A0H3MAA7	N/A,,N/A,,N/A,,N/A
A0A0H3MAB7	N/A,,N/A,,N/A,,N/A
A0A0H3MAC0	N/A,,N/A,,N/A,,N/A
A0A0H3MAC3	N/A,,N/A,,N/A,,N/A
A0A0H3MAD3	N/A,,N/A,,N/A,,N/A
A0A0H3MAE6	N/A,,N/A,,N/A,,N/A
A0A0H3MAE7	N/A,,N/A,,N/A,,N/A
A0A0H3MAE9	N/A,,N/A,,N/A,,N/A
A0A0H3MAF8	N/A,,N/A,,N/A,,N/A
A0A0H3MAG0	N/A,,N/A,,N/A,,N/A
A0A0H3MAG2	N/A,,N/A,,N/A,,N/A
A0A0H3MAG4	N/A,,N/A,,N/A,,N/A
A0A0H3MAG8	N/A,,N/A,,N/A,,N/A
A0A0H3MAH9	N/A,,N/A,,N/A,,N/A
A0A0H3MAK0	N/A,,N/A,,N/A,,N/A
A0A0H3MAK2	N/A,,N/A,,N/A,,N/A
A0A0H3MAK4	N/A,,N/A,,N/A,,N/A
A0A0H3MAK5	N/A,,N/A,,N/A,,N/A
A0A0H3MAK6	N/A,,N/A,,N/A,,N/A
A0A0H3MAL0	N/A,,N/A,,N/A,,N/A
A0A0H3MAQ9	N/A,,N/A,,N/A,,N/A
A0A0H3MAR7	N/A,,N/A,,N/A,,N/A
A0A0H3MAR8	1,,404,,MF_01106,,ArgJ,,Arginine biosynthesis bifunctional protein ArgJ, chloroplastic [ARG7]
A0A0H3MAT3	N/A,,N/A,,N/A,,N/A
A0A0H3MAU2	2,,1097,,MF_01486,,RecC,,RecBCD enzyme subunit RecC [recC]
A0A0H3MAU9	N/A,,N/A,,N/A,,N/A
A0A0H3MAV4	N/A,,N/A,,N/A,,N/A
A0A0H3MAV9	N/A,,N/A,,N/A,,N/A
A0A0H3MAW1	N/A,,N/A,,N/A,,N/A
A0A0H3MAW6	N/A,,N/A,,N/A,,N/A
